No,地域,slug,区分,人口,街の性格,分野,分野slug,推奨URLパス,優先度,判定メモ,枝(目安),状態
343,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/edogawa/,C,薄め/様子見,1-2,
344,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/edogawa/,C,薄め/様子見,1-2,
345,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/edogawa/,B,標準,2-3,
346,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/hachioji/,B,標準,2-3,
347,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/hachioji/,C,成立余地あり/要実在確認,1-2,
348,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/hachioji/,C,成立余地あり/要実在確認,1-2,
349,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/hachioji/,B,標準,2-3,
350,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/hachioji/,C,薄め/様子見,1-2,
351,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/hachioji/,B,標準,2-3,
352,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/hachioji/,B,標準,2-3,
353,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/hachioji/,C,薄め/様子見,1-2,
354,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,コワーキング・シェアオフィス,coworking,/stories/coworking/hachioji/,B,標準,2-3,
355,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/hachioji/,C,薄め/様子見,1-2,
356,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/hachioji/,C,限定的,1-2,
357,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,リトリート・禅体験,retreat-zen,/stories/retreat-zen/hachioji/,B,標準,2-3,
358,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/hachioji/,B,標準,2-3,
359,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/hachioji/,B,標準,2-3,
360,八王子市,hachioji,市,576747,学園都市・自然・繁華街・観光,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/hachioji/,B,標準,2-3,
361,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/tachikawa/,A,主力・最優先,3-5,
362,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/tachikawa/,D,原則対象外/親統合,0,
363,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/tachikawa/,D,原則対象外/親統合,0,
364,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/tachikawa/,A,主力・最優先,3-5,
365,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/tachikawa/,C,薄め/様子見,1-2,
366,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/tachikawa/,B,標準,2-3,
367,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/tachikawa/,A,主力・最優先,3-5,
368,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/tachikawa/,C,薄め/様子見,1-2,
369,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,コワーキング・シェアオフィス,coworking,/stories/coworking/tachikawa/,A,主力・最優先,3-5,
370,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/tachikawa/,C,薄め/様子見,1-2,
371,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/tachikawa/,D,都心は対象外/親統合,0,
372,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,リトリート・禅体験,retreat-zen,/stories/retreat-zen/tachikawa/,C,薄め/様子見,1-2,
373,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/tachikawa/,C,薄め/様子見,1-2,
374,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/tachikawa/,C,薄め/様子見,1-2,
375,立川市,tachikawa,市,186487,商業・再開発・繁華街・交通,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/tachikawa/,A,主力・最優先,3-5,
376,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/musashino/,C,薄め/様子見,1-2,
377,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/musashino/,D,原則対象外/親統合,0,
378,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/musashino/,D,原則対象外/親統合,0,
379,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/musashino/,C,薄め/様子見,1-2,
380,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/musashino/,B,標準,2-3,
381,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/musashino/,C,薄め/様子見,1-2,
382,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/musashino/,B,標準,2-3,
383,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/musashino/,B,標準,2-3,
384,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,コワーキング・シェアオフィス,coworking,/stories/coworking/musashino/,C,薄め/様子見,1-2,
385,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/musashino/,C,薄め/様子見,1-2,
386,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/musashino/,C,限定的,1-2,
387,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,リトリート・禅体験,retreat-zen,/stories/retreat-zen/musashino/,B,標準,2-3,
388,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/musashino/,B,標準,2-3,
389,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/musashino/,C,薄め/様子見,1-2,
390,武蔵野市,musashino,市,150683,吉祥寺・人気・公園・住宅,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/musashino/,B,標準,2-3,
391,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/mitaka/,C,薄め/様子見,1-2,
392,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/mitaka/,D,原則対象外/親統合,0,
393,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/mitaka/,D,原則対象外/親統合,0,
394,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/mitaka/,C,薄め/様子見,1-2,
395,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/mitaka/,A,主力・最優先,3-5,
396,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/mitaka/,C,薄め/様子見,1-2,
397,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/mitaka/,B,標準,2-3,
398,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/mitaka/,B,標準,2-3,
399,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/mitaka/,C,薄め/様子見,1-2,
400,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/mitaka/,C,薄め/様子見,1-2,
401,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/mitaka/,D,都心は対象外/親統合,0,
402,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/mitaka/,A,主力・最優先,3-5,
403,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/mitaka/,B,標準,2-3,
404,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/mitaka/,B,標準,2-3,
405,三鷹市,mitaka,市,196482,住宅・文化・ジブリ・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/mitaka/,B,標準,2-3,
406,青梅市,ome,市,129922,自然・山・観光・宿場,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/ome/,B,標準,2-3,
407,青梅市,ome,市,129922,自然・山・観光・宿場,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/ome/,C,成立余地あり/要実在確認,1-2,
408,青梅市,ome,市,129922,自然・山・観光・宿場,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/ome/,C,成立余地あり/要実在確認,1-2,
409,青梅市,ome,市,129922,自然・山・観光・宿場,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/ome/,C,薄め/様子見,1-2,
410,青梅市,ome,市,129922,自然・山・観光・宿場,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/ome/,C,薄め/様子見,1-2,
411,青梅市,ome,市,129922,自然・山・観光・宿場,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/ome/,C,薄め/様子見,1-2,
412,青梅市,ome,市,129922,自然・山・観光・宿場,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/ome/,C,薄め/様子見,1-2,
413,青梅市,ome,市,129922,自然・山・観光・宿場,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/ome/,C,薄め/様子見,1-2,
414,青梅市,ome,市,129922,自然・山・観光・宿場,コワーキング・シェアオフィス,coworking,/stories/coworking/ome/,C,薄め/様子見,1-2,
415,青梅市,ome,市,129922,自然・山・観光・宿場,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/ome/,C,薄め/様子見,1-2,
416,青梅市,ome,市,129922,自然・山・観光・宿場,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/ome/,B,郊外で成立余地,2-3,
417,青梅市,ome,市,129922,自然・山・観光・宿場,リトリート・禅体験,retreat-zen,/stories/retreat-zen/ome/,A,主力・最優先,3-5,
418,青梅市,ome,市,129922,自然・山・観光・宿場,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/ome/,A,主力・最優先,3-5,
419,青梅市,ome,市,129922,自然・山・観光・宿場,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/ome/,B,標準,2-3,
420,青梅市,ome,市,129922,自然・山・観光・宿場,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/ome/,B,標準,2-3,
421,府中市,fuchu,市,264725,住宅・競馬・神社・商業,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/fuchu/,C,薄め/様子見,1-2,
422,府中市,fuchu,市,264725,住宅・競馬・神社・商業,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/fuchu/,D,原則対象外/親統合,0,
423,府中市,fuchu,市,264725,住宅・競馬・神社・商業,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/fuchu/,D,原則対象外/親統合,0,
424,府中市,fuchu,市,264725,住宅・競馬・神社・商業,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/fuchu/,B,標準,2-3,
425,府中市,fuchu,市,264725,住宅・競馬・神社・商業,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/fuchu/,B,標準,2-3,
426,府中市,fuchu,市,264725,住宅・競馬・神社・商業,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/fuchu/,C,薄め/様子見,1-2,
427,府中市,fuchu,市,264725,住宅・競馬・神社・商業,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/fuchu/,B,標準,2-3,
428,府中市,fuchu,市,264725,住宅・競馬・神社・商業,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/fuchu/,B,標準,2-3,
429,府中市,fuchu,市,264725,住宅・競馬・神社・商業,コワーキング・シェアオフィス,coworking,/stories/coworking/fuchu/,C,薄め/様子見,1-2,
430,府中市,fuchu,市,264725,住宅・競馬・神社・商業,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/fuchu/,C,薄め/様子見,1-2,
431,府中市,fuchu,市,264725,住宅・競馬・神社・商業,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/fuchu/,D,都心は対象外/親統合,0,
432,府中市,fuchu,市,264725,住宅・競馬・神社・商業,リトリート・禅体験,retreat-zen,/stories/retreat-zen/fuchu/,C,薄め/様子見,1-2,
433,府中市,fuchu,市,264725,住宅・競馬・神社・商業,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/fuchu/,B,標準,2-3,
434,府中市,fuchu,市,264725,住宅・競馬・神社・商業,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/fuchu/,C,薄め/様子見,1-2,
435,府中市,fuchu,市,264725,住宅・競馬・神社・商業,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/fuchu/,A,主力・最優先,3-5,
436,昭島市,akishima,市,116285,住宅・ファミリー・商業,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/akishima/,C,薄め/様子見,1-2,
437,昭島市,akishima,市,116285,住宅・ファミリー・商業,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/akishima/,D,原則対象外/親統合,0,
438,昭島市,akishima,市,116285,住宅・ファミリー・商業,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/akishima/,D,原則対象外/親統合,0,
439,昭島市,akishima,市,116285,住宅・ファミリー・商業,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/akishima/,B,標準,2-3,
440,昭島市,akishima,市,116285,住宅・ファミリー・商業,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/akishima/,B,標準,2-3,
441,昭島市,akishima,市,116285,住宅・ファミリー・商業,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/akishima/,C,薄め/様子見,1-2,
442,昭島市,akishima,市,116285,住宅・ファミリー・商業,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/akishima/,B,標準,2-3,
443,昭島市,akishima,市,116285,住宅・ファミリー・商業,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/akishima/,B,標準,2-3,
444,昭島市,akishima,市,116285,住宅・ファミリー・商業,コワーキング・シェアオフィス,coworking,/stories/coworking/akishima/,C,薄め/様子見,1-2,
445,昭島市,akishima,市,116285,住宅・ファミリー・商業,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/akishima/,C,薄め/様子見,1-2,
446,昭島市,akishima,市,116285,住宅・ファミリー・商業,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/akishima/,D,都心は対象外/親統合,0,
447,昭島市,akishima,市,116285,住宅・ファミリー・商業,リトリート・禅体験,retreat-zen,/stories/retreat-zen/akishima/,C,薄め/様子見,1-2,
448,昭島市,akishima,市,116285,住宅・ファミリー・商業,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/akishima/,C,薄め/様子見,1-2,
449,昭島市,akishima,市,116285,住宅・ファミリー・商業,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/akishima/,C,薄め/様子見,1-2,
450,昭島市,akishima,市,116285,住宅・ファミリー・商業,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/akishima/,A,主力・最優先,3-5,
451,調布市,chofu,市,245875,住宅・映画・神社・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/chofu/,C,薄め/様子見,1-2,
452,調布市,chofu,市,245875,住宅・映画・神社・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/chofu/,D,原則対象外/親統合,0,
453,調布市,chofu,市,245875,住宅・映画・神社・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/chofu/,D,原則対象外/親統合,0,
454,調布市,chofu,市,245875,住宅・映画・神社・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/chofu/,C,薄め/様子見,1-2,
455,調布市,chofu,市,245875,住宅・映画・神社・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/chofu/,B,標準,2-3,
456,調布市,chofu,市,245875,住宅・映画・神社・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/chofu/,C,薄め/様子見,1-2,
457,調布市,chofu,市,245875,住宅・映画・神社・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/chofu/,B,標準,2-3,
458,調布市,chofu,市,245875,住宅・映画・神社・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/chofu/,B,標準,2-3,
459,調布市,chofu,市,245875,住宅・映画・神社・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/chofu/,C,薄め/様子見,1-2,
460,調布市,chofu,市,245875,住宅・映画・神社・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/chofu/,C,薄め/様子見,1-2,
461,調布市,chofu,市,245875,住宅・映画・神社・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/chofu/,D,都心は対象外/親統合,0,
462,調布市,chofu,市,245875,住宅・映画・神社・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/chofu/,B,標準,2-3,
463,調布市,chofu,市,245875,住宅・映画・神社・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/chofu/,B,標準,2-3,
464,調布市,chofu,市,245875,住宅・映画・神社・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/chofu/,B,標準,2-3,
465,調布市,chofu,市,245875,住宅・映画・神社・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/chofu/,B,標準,2-3,
466,町田市,machida,市,432409,商業・繁華街・自然・若者,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/machida/,C,薄め/様子見,1-2,
467,町田市,machida,市,432409,商業・繁華街・自然・若者,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/machida/,C,限定的/要確認,1-2,
468,町田市,machida,市,432409,商業・繁華街・自然・若者,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/machida/,C,限定的/要確認,1-2,
469,町田市,machida,市,432409,商業・繁華街・自然・若者,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/machida/,A,主力・最優先,3-5,
470,町田市,machida,市,432409,商業・繁華街・自然・若者,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/machida/,B,標準,2-3,
471,町田市,machida,市,432409,商業・繁華街・自然・若者,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/machida/,B,標準,2-3,
472,町田市,machida,市,432409,商業・繁華街・自然・若者,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/machida/,B,標準,2-3,
473,町田市,machida,市,432409,商業・繁華街・自然・若者,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/machida/,C,薄め/様子見,1-2,
474,町田市,machida,市,432409,商業・繁華街・自然・若者,コワーキング・シェアオフィス,coworking,/stories/coworking/machida/,B,標準,2-3,
475,町田市,machida,市,432409,商業・繁華街・自然・若者,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/machida/,C,薄め/様子見,1-2,
476,町田市,machida,市,432409,商業・繁華街・自然・若者,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/machida/,C,限定的,1-2,
477,町田市,machida,市,432409,商業・繁華街・自然・若者,リトリート・禅体験,retreat-zen,/stories/retreat-zen/machida/,B,標準,2-3,
478,町田市,machida,市,432409,商業・繁華街・自然・若者,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/machida/,C,薄め/様子見,1-2,
479,町田市,machida,市,432409,商業・繁華街・自然・若者,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/machida/,B,標準,2-3,
480,町田市,machida,市,432409,商業・繁華街・自然・若者,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/machida/,A,主力・最優先,3-5,
481,小金井市,koganei,市,128458,住宅・公園・閑静・文化,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/koganei/,C,薄め/様子見,1-2,
482,小金井市,koganei,市,128458,住宅・公園・閑静・文化,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/koganei/,D,原則対象外/親統合,0,
483,小金井市,koganei,市,128458,住宅・公園・閑静・文化,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/koganei/,D,原則対象外/親統合,0,
484,小金井市,koganei,市,128458,住宅・公園・閑静・文化,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/koganei/,C,薄め/様子見,1-2,
485,小金井市,koganei,市,128458,住宅・公園・閑静・文化,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/koganei/,A,主力・最優先,3-5,
486,小金井市,koganei,市,128458,住宅・公園・閑静・文化,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/koganei/,C,薄め/様子見,1-2,
487,小金井市,koganei,市,128458,住宅・公園・閑静・文化,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/koganei/,B,標準,2-3,
488,小金井市,koganei,市,128458,住宅・公園・閑静・文化,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/koganei/,B,標準,2-3,
489,小金井市,koganei,市,128458,住宅・公園・閑静・文化,コワーキング・シェアオフィス,coworking,/stories/coworking/koganei/,C,薄め/様子見,1-2,
490,小金井市,koganei,市,128458,住宅・公園・閑静・文化,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/koganei/,C,薄め/様子見,1-2,
491,小金井市,koganei,市,128458,住宅・公園・閑静・文化,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/koganei/,C,限定的,1-2,
492,小金井市,koganei,市,128458,住宅・公園・閑静・文化,リトリート・禅体験,retreat-zen,/stories/retreat-zen/koganei/,A,主力・最優先,3-5,
493,小金井市,koganei,市,128458,住宅・公園・閑静・文化,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/koganei/,B,標準,2-3,
494,小金井市,koganei,市,128458,住宅・公園・閑静・文化,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/koganei/,B,標準,2-3,
495,小金井市,koganei,市,128458,住宅・公園・閑静・文化,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/koganei/,A,主力・最優先,3-5,
496,小平市,kodaira,市,200849,住宅・閑静・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/kodaira/,C,薄め/様子見,1-2,
497,小平市,kodaira,市,200849,住宅・閑静・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/kodaira/,D,原則対象外/親統合,0,
498,小平市,kodaira,市,200849,住宅・閑静・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/kodaira/,D,原則対象外/親統合,0,
499,小平市,kodaira,市,200849,住宅・閑静・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/kodaira/,C,薄め/様子見,1-2,
500,小平市,kodaira,市,200849,住宅・閑静・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/kodaira/,B,標準,2-3,
501,小平市,kodaira,市,200849,住宅・閑静・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/kodaira/,C,薄め/様子見,1-2,
502,小平市,kodaira,市,200849,住宅・閑静・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/kodaira/,B,標準,2-3,
503,小平市,kodaira,市,200849,住宅・閑静・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/kodaira/,B,標準,2-3,
504,小平市,kodaira,市,200849,住宅・閑静・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/kodaira/,C,薄め/様子見,1-2,
505,小平市,kodaira,市,200849,住宅・閑静・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/kodaira/,C,薄め/様子見,1-2,
506,小平市,kodaira,市,200849,住宅・閑静・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/kodaira/,D,都心は対象外/親統合,0,
507,小平市,kodaira,市,200849,住宅・閑静・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/kodaira/,B,標準,2-3,
508,小平市,kodaira,市,200849,住宅・閑静・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/kodaira/,C,薄め/様子見,1-2,
509,小平市,kodaira,市,200849,住宅・閑静・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/kodaira/,C,薄め/様子見,1-2,
